pmid,title,pub_year,cluster,domain,has_abstract
midus_doi_10_1177_07334648251343924,"Caring for the caregiver: Investigating the relationship between caregiving, gender, and diabetes risk in MIDUS II",2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_jad_2025_120851,An attitude of gratitude: How psychological and social resources mediate the protective effect of religiosity on depressive symptoms,2026,3,"Domain 3: psychological, well, social, health",FALSE
midus_doi_10_1093_geronb_gbaf246,The toll of caregiving: Life-course family care and disparities in physical functioning,2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1111_sjop_70051,"Longitudinal stability and cross-sectional correlates: Cognition, stress, and inflammation in midlife",2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1097_PSY_0000000000001494,The mediating role of daily affect dynamics in bidirectional and longitudinal associations between depressive symptoms and inflammation,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1037_pag0000938,Longitudinal profiles of affect dynamics in middle and later life: A latent transition analysis,2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_2196_87374,"Modeling diabetes risk and progression with public health data: Ontology-guided, simulation-capable digital twin study",2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1007_s12529_025_10370_1,Joint effects of workplace and everyday discrimination on sleep disturbances: A 9-year prospective cohort study in U,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_jad_2026_121543,Perceived control and long-term depression and anxiety: An 18-year longitudinal mediation study of coping,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_psychres_2026_116983,Workplace discrimination and risk of alcohol abuse: A prospective cohort study in the United States,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1037_pspp0000577,Personality and mortality risk: A systematic review and meta-analysis of longitudinal data,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_08982643261445760,A daily diary study of positive experiences and alcohol use among non-abstaining adults aged 50+ years,2026,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1080_13607863_2025_2567481,Longitudinal changes in alcohol use across 20 years of adulthood: A U,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_02654075261422593,Sense of purpose as a protective factor against negative spousal interaction,2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1097_PSY_0000000000001467,Major lifetime discrimination exposure accelerates brain microstructural aging: Diffusion MRI evidence from MIDUS,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1080_13607863_2026_2664079,The moderating role of age on perceived burdensomeness among U,2026,7,"Domain 7: age, differences, subjective, cognitive",FALSE
midus_doi_10_1177_10422587251371486,"Founders' social class origin, risk-taking, and venture performance: A Bourdieusian lens",2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1037_rep0000667,"Workplace discrimination, family, and chronic pain: The longitudinal buffering role of work-to-family enrichment",2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_bbi_2025_106243,Using social risk factors to predict allostatic biotypes of depression: A latent profile and multinomial regression analysis,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_2147_nss_S578237,Cognitive reappraisal and sleep quality: A serial mediation analysis of associations through meaningful work and perceived stress,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1037_amp0001513,Cumulative social advantage across the lifespan: Examining the convergent and predictive validity of a multidimensional hierarchical construct for health and longevity,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1037_tra0002030,Psychological pathways from childhood maltreatment to inflammation among midlife and older adults,2026,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1038_s44271_026_00396_w,Personality moderates associations between personal time and parental well-being,2026,6,"Domain 6: personality, traits, studies, longitudinal",FALSE
midus_doi_10_1177_13591053251329060,Positive life experiences and physical health: Associations and mediating pathways,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1037_rel0000581,Religious service attendance and common mental disorders and well-being: Causal effects based on a longitudinal marginal structural model approach,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_jad_2025_120221,"Do purpose in life and self-directedness mediate the effects of child abuse on anxiety and depression symptoms 18 years later? Journal of Affective Disorders, 393, Article 120221",2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1111_scs_70200,Multidimensional factors are related to caregiver burden: Findings from a national experience sampling survey,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_psyneuen_2025_107704,Aging anxiety and epigenetic aging in a national sample of adult women in the United States,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_socscimed_2026_119196,Neighborhood opportunity and cellular senescence in a national sample of U,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1097_PSY_0000000000001500,Perceived social cohesion moderates the association between neighborhood socioeconomic deprivation and epigenetic aging,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1007_s10902_026_01050_2,"Do coping strategies explain the relationship between purpose in life and life satisfaction? Journal of Happiness Studies, 27(5), Article 69",2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1037_pag0000937,"Are work characteristics related to personality development during the retirement transition? Psychology and Aging, 41(1), 68-84",2026,6,"Domain 6: personality, traits, studies, longitudinal",FALSE
midus_doi_10_1177_08982643261451071,Head injuries and the gender gap in anxiety and depression symptoms,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_22799036261418437,Early-life rural disadvantage and executive function in adulthood: The role of income and education,2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1016_j_isci_2026_116294,Long working hours and mortality outcomes: A systematic review with outcome-specific evidence synthesis,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_sleh_2026_03_004,Domains included in multidimensional sleep health composite scores: A scoping review,2026,2,"Domain 2: sleep, quality, population, adults",FALSE
midus_doi_10_1111_psyp_70309,Multiple group membership and cardiovascular reactivity in women: Moderation by the number of groups perceived as targets of discrimination,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_jbusvent_2025_106556,Does self-employment increase stress? A co-twin control analysis of Finnish and US twins,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_08982643241296995,Personality and markers of lower extremity function: Findings from six samples,2026,6,"Domain 6: personality, traits, studies, longitudinal",FALSE
midus_doi_10_1080_13607863_2025_2562139,Loneliness and performance-based measures of physical function: Coordinated meta-analytic findings from six cohorts,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_psyneuen_2026_107916,Personality nuances and inflammation: A coordinated analysis of six samples,2026,6,"Domain 6: personality, traits, studies, longitudinal",FALSE
midus_doi_10_1007_s11357_025_01728_0,Epigenetic aging mediates the association between life course socioeconomic status and decrements in kidney function across a decade,2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1016_j_jad_2025_120881,"Purpose in life and depressive symptoms: An individual-participant meta-analysis of >500,000 participants across six world regions",2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1093_ajh_hpaf165,Dynamical regulation of blood pressure and cognitive function,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_chiabu_2026_107926,Focus on and venting of emotion mediate the pathway from maternal child abuse to adulthood depression severity,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1037_pag0000976,Health and energy outlook predict health outcomes 20 years later,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1002_cncr_70344,Rethinking depression diagnosis in ovarian cancer: The role of somatic symptoms,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_08982643241303589,"Early-life parental affection, social relationships in adulthood, and later-life cognitive function",2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1016_j_maturitas_2026_108996,The midlife health penalty: A systematic review and meta-analysis of loneliness and health-related quality of life in adults aged 40-65,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1093_socrel_srae038,"Faith and volunteering at midlife: Variation by religious continuity, discontinuity, or initiation since childhood? Sociology of Religion, 87(1), 109-132",2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_biopsycho_2026_109247,"Loneliness, positive social interactions, and diurnal cortisol among mid-to-later life adults in everyday life",2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1037_cdp0000728,Dispositional coping profiles moderate the links between racial discrimination and mental health in Black Americans,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1093_geronb_gbaf227,Purpose in life mitigates digital disconnection in older adults,2026,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1016_j_jpsychores_2025_112509,"Family emotional climate, depressive symptoms, and pain prevalence: Testing mediation pathways among midlife and older Black Americans",2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1002_jclp_70082,The association between contentment and depressive symptoms: Results from three panel studies,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_jagp_2025_08_011,Daily associations between caregiving time and spousal caregivers' well-being: The moderating roles of daily marital interactions,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1080_13668803_2024_2333872,What happens at home stays at home: The Vegas rule for work depends on working memory,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1093_geronb_gbaf220,Beyond pain presence: The impact of multisite pain and pain interference on cognitive functioning among middle-aged and older adults,2026,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1016_j_jad_2025_120426,Sleep disturbance recorded via wearable sensors predicts depression severity 9 years later,2026,2,"Domain 2: sleep, quality, population, adults",FALSE
midus_doi_10_1016_j_janxdis_2025_103095,Actigraphy and subjective sleep predictors of nine-year generalized anxiety disorder,2026,2,"Domain 2: sleep, quality, population, adults",FALSE
midus_doi_10_1017_S0033291726104577,Childhood paternal abuse and low paternal affection predict adult panic symptoms 18 years later via actigraphy-indexed sleep disruptions,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1186_s12888_026_07902_8,Who's at risk for emergent depression years later? Predictive modeling in a nine-year longitudinal cohort,2026,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1037_emo0001654,When feeling good does not always help you sleep: Cultural moderation of the positive affect-sleep link,2026,2,"Domain 2: sleep, quality, population, adults",FALSE
midus_doi_10_1016_j_aggp_2025_100212,Classificating middle-aged and older adults through physiological and functional measures,2025,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1016_j_bbi_2024_07_019,The effects of childhood adversity on twenty-five disease biomarkers and twenty health conditions in adulthood: Differences by sex and stressor type,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_2196_76453,"The National Study of Daily Experiences: Protocol for assessments of daily stress, well-being, health, and salivary biomarkers in a longitudinal cohort",2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1002_bsa3_70013,"Interrelationships of social determinants with cognition, vascular health, and physical functioning",2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1093_geronb_gbaf143,Midlife gender discrimination and later-life cognition: Results from the National Survey of Midlife Development in the United States,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_bbih_2025_101122,"Interleukin-6 moderates the relationship between social support, strain, and future depressive symptoms",2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_2196_67438,Physical activity measurement reactivity among midlife adults with elevated risk for cardiovascular disease: Protocol for coordinated analyses across six studies,2025,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1016_j_janxdis_2025_102978,Development of a machine learning-based multivariable prediction model for the naturalistic course of generalized anxiety disorder,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_psyneuen_2025_107553,Neighborhood disadvantage and elevated CD14 gene expression among middle-aged adults: Findings from the Midlife in the United States study,2025,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_3390_nu16233995,Lipidomic signature of healthy diet adherence and its association with cardiometabolic risk in American adults,2025,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_3389_fpubh_2025_1485371,Housing insecurity pathways to physiological and epigenetic manifestations of health among aging adults: A conceptual model,2025,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1177_30495334251389181,Does cardiovascular health influence the well-being of people living in rural areas: Findings from a 20-year study in US adults,2025,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1007_s10902_025_00970_9,The impact of cardiovascular health in the association between mind-body practice and holistic well-being: Findings from a 20-year study in US adults,2025,8,"Domain 8: adults, older, middle, aged",FALSE
midus_doi_10_1177_07334648241273337,The role of life satisfaction and optimism for successful aging in mid and late life,2025,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1177_30495334251390797,Do chronic stressors impact the association between substance use and well-being: Findings from the Midlife in the United States study,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1097_NNR_0000000000000810,Two-part mixed-effects location scale models for health diary data,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_socscimed_2025_117903,Sources of well-being and cardiovascular health: A mixed methods investigation from the MIDUS study,2025,1,"Domain 1: well, self, health, mental",FALSE
midus_doi_10_1016_j_jpain_2025_105376,Gender discrimination is associated with greater chronic pain interference among women,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1038_s41598_025_95058_y,Educational disparities in 20-year trajectories of psychological well-being in a national sample,2025,3,"Domain 3: psychological, well, social, health",FALSE
midus_doi_10_1177_01461672241233433,"Evaluating the structure of subjective well-being: Evidence from three large-scale, long-term, national longitudinal studies",2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_sleh_2024_11_005,Multidimensional sleep health and cognitive function across adulthood,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_13591053241300102,Population and social psychology: How social psychology can shed light on demographic processes,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1037_hea0001524,Cumulative stress and epigenetic aging: Examining the role of psychological moderators,2025,3,"Domain 3: psychological, well, social, health",FALSE
midus_doi_10_1037_fam0001354,Examining the role of emotional support equity in marital relationships in later life: Findings from the National Study of Daily Experiences,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_01640275251343101,Area-level poverty and functional limitations: Exploring gender-specific mechanisms,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1080_17439760_2025_2542234,A lifespan perspective on positive affect fluctuations on purpose in life: Findings from a 9-year longitudinal study,2025,5,"Domain 5: life, satisfaction, purpose, later",FALSE
midus_doi_10_1097_JOM_0000000000003394,Who works non-day shifts?: An investigation of population and within-cohort trends,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1093_geronb_gbaf132,"Sleep longer, think sharper: Extra sleep offsets poor sleep quality in young-old adults",2025,2,"Domain 2: sleep, quality, population, adults",FALSE
midus_doi_10_1080_13548506_2025_2450546,The role of psychological factors in predicting self-rated health: Implications from machine learning models,2025,3,"Domain 3: psychological, well, social, health",FALSE
midus_doi_10_1016_j_psyneuen_2025_107527,The association between cardiac vagal activity and urinary catecholamine: Investigating the effect of race and sex,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_paid_2025_113044,Trait mindfulness is associated with enhanced daily affectivity and cognition independent of daily stressors exposure: Insights from large-scale daily diary studies in the US and Singapore,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1007_s10804_024_09503_9,"Making a bad situation worse: Race, poor health behaviors, and daily family stressor reactivity",2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1093_pm_pnae131,What makes life go well? A network topic modeling analysis of well-being practices in adults with chronic pain,2025,1,"Domain 1: well, self, health, mental",FALSE
midus_doi_10_1080_07420528_2025_2556840,"Associations of sleep duration and quality with risk of incident obesity, diabetes, and metabolic syndrome: Results from the Midlife in the United States study",2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_3389_fpubh_2025_1632838,"Measuring the relationship between social capital, race, and education",2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_psychsport_2024_102777,Within-person associations between daily stress and physical activity during working and non-working hours,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_healthplace_2025_103532,Place-based opportunities and physiological stress: Understanding neighborhood-level disparities in allostatic load,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1097_PSY_0000000000001419,Neighborhood opportunity and biological aging: Results from the Midlife in the United States,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1093_geronb_gbaf016,Loneliness links adverse childhood experiences to mortality risk across 26 years,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1007_s11205_024_03458_w,Constructing general human agency indicators (GHAIs) and a general personal agency scale (GPAS),2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1097_PSY_0000000000001350,"An analysis on the impact of childhood adversity, anxiety, and C-reactive protein on adult chronic pain in the Midlife in the United States (MIDUS) study",2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1111_jopy_12927,Daily general discrimination predicts changes in trait negative affectivity: A 30-year cohort longitudinal study using a random-intercept cross-lagged panel model,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1097_MLR_0000000000002126,Chronic disease and future perceptions of financial control: Results from the Midlife in the United States cohort study,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1016_j_socscimed_2025_117912,Age-related trajectories of health and cognition in mothers of children with developmental disabilities: Longitudinal findings from two independent studies,2025,4,"Domain 4: health, social, daily, midlife",FALSE
midus_doi_10_1177_10775595251387057,Invisible scars: Residual consequences of childhood maltreatment even in adults classified as resilient,2025,8,"Domain 8: adults, older, middle, aged",FALSE
